周波数 (Hz)	レベル (dB)
46.875000	-64.002991
93.750000	-63.438969
140.625000	-52.342220
187.500000	-41.221172
234.375000	-41.667221
281.250000	-54.266796
328.125000	-55.851959
375.000000	-44.649734
421.875000	-40.309338
468.750000	-45.072849
515.625000	-57.182571
562.500000	-48.025703
609.375000	-36.253902
656.250000	-34.748146
703.125000	-43.227200
750.000000	-43.660847
796.875000	-32.797394
843.750000	-25.884094
890.625000	-27.833185
937.500000	-36.943954
984.375000	-31.887045
1031.250000	-26.341509
1078.125000	-27.949762
1125.000000	-36.153999
1171.875000	-39.321182
1218.750000	-31.074980
1265.625000	-27.172628
1312.500000	-28.112537
1359.375000	-33.976578
1406.250000	-33.284988
1453.125000	-32.813332
1500.000000	-32.917919
1546.875000	-37.907066
1593.750000	-49.656364
1640.625000	-50.748581
1687.500000	-50.952591
1734.375000	-51.101902
1781.250000	-54.527054
1828.125000	-55.472980
1875.000000	-52.519878
1921.875000	-51.534397
1968.750000	-53.930367
2015.625000	-58.779724
2062.500000	-61.209831
2109.375000	-61.307114
2156.250000	-58.570599
2203.125000	-61.155216
2250.000000	-62.897106
2296.875000	-63.669369
2343.750000	-60.748672
2390.625000	-60.545109
2437.500000	-66.327179
2484.375000	-66.832184
2531.250000	-64.455261
2578.125000	-58.412514
2625.000000	-56.699898
2671.875000	-59.917740
2718.750000	-64.617691
2765.625000	-61.346218
2812.500000	-59.904217
2859.375000	-57.465015
2906.250000	-58.894051
2953.125000	-56.483986
3000.000000	-54.458992
3046.875000	-56.138565
3093.750000	-55.467010
3140.625000	-53.091946
3187.500000	-49.255116
3234.375000	-47.824177
3281.250000	-49.834541
3328.125000	-52.771305
3375.000000	-53.524681
3421.875000	-52.333565
3468.750000	-50.080467
3515.625000	-52.090702
3562.500000	-55.625034
3609.375000	-53.681248
3656.250000	-53.918709
3703.125000	-54.082649
3750.000000	-53.781521
3796.875000	-56.792229
3843.750000	-54.170017
3890.625000	-54.471424
3937.500000	-52.531288
3984.375000	-52.292847
4031.250000	-52.090309
4078.125000	-51.481850
4125.000000	-53.092464
4171.875000	-58.995289
4218.750000	-59.396671
4265.625000	-56.718071
4312.500000	-60.686157
4359.375000	-63.552998
4406.250000	-62.337322
4453.125000	-65.464417
4500.000000	-66.833679
4546.875000	-68.423546
4593.750000	-70.942093
4640.625000	-73.536896
4687.500000	-70.033173
4734.375000	-66.588089
4781.250000	-66.359421
4828.125000	-66.883507
4875.000000	-69.163673
4921.875000	-69.554604
4968.750000	-68.940292
5015.625000	-69.788834
5062.500000	-70.764458
5109.375000	-67.232803
5156.250000	-66.988701
5203.125000	-67.291237
5250.000000	-66.020584
5296.875000	-65.019646
5343.750000	-64.177399
5390.625000	-63.944740
5437.500000	-65.357002
5484.375000	-68.067154
5531.250000	-65.976151
5578.125000	-63.814034
5625.000000	-62.808731
5671.875000	-64.322617
5718.750000	-63.687988
5765.625000	-60.432163
5812.500000	-61.113003
5859.375000	-62.560200
5906.250000	-63.867409
5953.125000	-65.054237
6000.000000	-67.508179
6046.875000	-68.279373
6093.750000	-66.997055
6140.625000	-65.999123
6187.500000	-64.636078
6234.375000	-62.944454
6281.250000	-64.189774
6328.125000	-70.573524
6375.000000	-64.998962
6421.875000	-63.389851
6468.750000	-63.554470
6515.625000	-66.179436
6562.500000	-71.583710
6609.375000	-70.523384
6656.250000	-73.402122
6703.125000	-75.192268
6750.000000	-73.037567
6796.875000	-68.050636
6843.750000	-63.689968
6890.625000	-62.748100
6937.500000	-63.877132
6984.375000	-66.373329
7031.250000	-64.997871
7078.125000	-63.687859
7125.000000	-59.447796
7171.875000	-60.085247
7218.750000	-59.475643
7265.625000	-60.271622
7312.500000	-63.132885
7359.375000	-64.896233
7406.250000	-64.283218
7453.125000	-58.606518
7500.000000	-59.363640
7546.875000	-61.445911
7593.750000	-64.352425
7640.625000	-68.015656
7687.500000	-65.574310
7734.375000	-66.794022
7781.250000	-69.741295
7828.125000	-74.295357
7875.000000	-72.157021
7921.875000	-71.978653
7968.750000	-72.836296
8015.625000	-75.881531
8062.500000	-77.038612
8109.375000	-78.369095
8156.250000	-82.979187
8203.125000	-81.210052
8250.000000	-84.381554
8296.875000	-87.214714
8343.750000	-85.559792
8390.625000	-89.866859
8437.500000	-94.795441
8484.375000	-94.017235
8531.250000	-92.065964
8578.125000	-93.267906
8625.000000	-95.703323
8671.875000	-97.888023
8718.750000	-97.221237
8765.625000	-96.563019
8812.500000	-95.368828
8859.375000	-97.244568
8906.250000	-98.246849
8953.125000	-95.384995
9000.000000	-94.785416
9046.875000	-95.403755
9093.750000	-95.426987
9140.625000	-95.026611
9187.500000	-94.258270
9234.375000	-94.660912
9281.250000	-94.062920
9328.125000	-93.805435
9375.000000	-94.559364
9421.875000	-94.170784
9468.750000	-94.315506
9515.625000	-94.002136
9562.500000	-93.971596
9609.375000	-93.817162
9656.250000	-95.419922
9703.125000	-95.979492
9750.000000	-95.624756
9796.875000	-90.371635
9843.750000	-90.438812
9890.625000	-92.926620
9937.500000	-89.898170
9984.375000	-90.223175
10031.250000	-90.840881
10078.125000	-93.494133
10125.000000	-93.184723
10171.875000	-91.171104
10218.750000	-90.740738
10265.625000	-89.815346
10312.500000	-92.246857
10359.375000	-93.227943
10406.250000	-93.313240
10453.125000	-93.378754
10500.000000	-94.368668
10546.875000	-93.256233
10593.750000	-91.782066
10640.625000	-92.789330
10687.500000	-94.423775
10734.375000	-94.426521
10781.250000	-93.738632
10828.125000	-92.888901
10875.000000	-91.975143
10921.875000	-92.345856
10968.750000	-95.803772
11015.625000	-96.684135
11062.500000	-95.390373
11109.375000	-94.560051
11156.250000	-92.793488
11203.125000	-93.721344
11250.000000	-95.706184
11296.875000	-95.946571
11343.750000	-93.334953
11390.625000	-90.765289
11437.500000	-88.430862
11484.375000	-89.103317
11531.250000	-91.190018
11578.125000	-93.924194
11625.000000	-93.618904
11671.875000	-95.340088
11718.750000	-98.083588
11765.625000	-94.822586
11812.500000	-94.827950
11859.375000	-95.654953
11906.250000	-95.515846
11953.125000	-94.198944
12000.000000	-94.479591
12046.875000	-94.999626
12093.750000	-91.562424
12140.625000	-91.734573
12187.500000	-92.086960
12234.375000	-95.197121
12281.250000	-92.602676
12328.125000	-87.398827
12375.000000	-85.929550
12421.875000	-86.284676
12468.750000	-86.535912
12515.625000	-87.085800
12562.500000	-90.206177
12609.375000	-91.725945
12656.250000	-93.541489
12703.125000	-92.476547
12750.000000	-92.131554
12796.875000	-90.854431
12843.750000	-89.546722
12890.625000	-90.006325
12937.500000	-87.543198
12984.375000	-87.610199
13031.250000	-87.303291
13078.125000	-91.052010
13125.000000	-86.136650
13171.875000	-82.829819
13218.750000	-83.354843
13265.625000	-85.539589
13312.500000	-90.150047
13359.375000	-87.713112
13406.250000	-89.301445
13453.125000	-91.003685
13500.000000	-91.001686
13546.875000	-91.151360
13593.750000	-90.294472
13640.625000	-87.314461
13687.500000	-86.627342
13734.375000	-83.593727
13781.250000	-80.718178
13828.125000	-80.711723
13875.000000	-81.664719
13921.875000	-84.295624
13968.750000	-84.936752
14015.625000	-82.627472
14062.500000	-82.839607
14109.375000	-84.206635
14156.250000	-88.436096
14203.125000	-90.040527
14250.000000	-90.478546
14296.875000	-85.776199
14343.750000	-84.697258
14390.625000	-85.749519
14437.500000	-83.920624
14484.375000	-84.311882
14531.250000	-89.064590
14578.125000	-94.355194
14625.000000	-93.280975
14671.875000	-94.262230
14718.750000	-95.098267
14765.625000	-93.524666
14812.500000	-93.153191
14859.375000	-88.870087
14906.250000	-85.752129
14953.125000	-84.438354
15000.000000	-86.682938
15046.875000	-87.241058
15093.750000	-87.081978
15140.625000	-88.727631
15187.500000	-88.719193
15234.375000	-89.141899
15281.250000	-86.589554
15328.125000	-86.382149
15375.000000	-90.579231
15421.875000	-90.684875
15468.750000	-93.330795
15515.625000	-101.902428
15562.500000	-107.272446
15609.375000	-109.768425
15656.250000	-113.085327
15703.125000	-114.008583
15750.000000	-119.981323
15796.875000	-127.040428
15843.750000	-127.124870
15890.625000	-131.321976
15937.500000	-139.290680
15984.375000	-132.461792
16031.250000	-133.776169
16078.125000	-142.569946
16125.000000	-141.896439
16171.875000	-134.109177
16218.750000	-130.802399
16265.625000	-133.542328
16312.500000	-141.492722
16359.375000	-133.290680
16406.250000	-134.344620
16453.125000	-143.448105
16500.000000	-145.683655
16546.875000	-136.446548
16593.750000	-132.448730
16640.625000	-134.477859
16687.500000	-142.794952
16734.375000	-133.961121
16781.250000	-134.911118
16828.125000	-143.561539
16875.000000	-147.609268
16921.875000	-137.873230
16968.750000	-133.502304
17015.625000	-135.276260
17062.500000	-143.405853
17109.375000	-134.670837
17156.250000	-135.503891
17203.125000	-144.184814
17250.000000	-148.406921
17296.875000	-138.895126
17343.750000	-134.387222
17390.625000	-135.961029
17437.500000	-144.320709
17484.375000	-135.318542
17531.250000	-136.184006
17578.125000	-144.572449
17625.000000	-149.321930
17671.875000	-139.746613
17718.750000	-135.161224
17765.625000	-136.693451
17812.500000	-144.736542
17859.375000	-136.039658
17906.250000	-136.825089
17953.125000	-145.362610
18000.000000	-149.686386
18046.875000	-140.506531
18093.750000	-135.925949
18140.625000	-137.372208
18187.500000	-145.680527
18234.375000	-136.693710
18281.250000	-137.566833
18328.125000	-145.829926
18375.000000	-150.540726
18421.875000	-141.224670
18468.750000	-136.661026
18515.625000	-138.140518
18562.500000	-146.005814
18609.375000	-137.442688
18656.250000	-138.245468
18703.125000	-146.723877
18750.000000	-150.769470
18796.875000	-141.909424
18843.750000	-137.416916
18890.625000	-138.852325
18937.500000	-146.911499
18984.375000	-138.125565
19031.250000	-139.056442
19078.125000	-147.260498
19125.000000	-151.532684
19171.875000	-142.581848
19218.750000	-138.157791
19265.625000	-139.680740
19312.500000	-147.232285
19359.375000	-138.925201
19406.250000	-139.810608
19453.125000	-148.179794
19500.000000	-151.684845
19546.875000	-143.259308
19593.750000	-138.965942
19640.625000	-140.447083
19687.500000	-148.198242
19734.375000	-139.667160
19781.250000	-140.709808
19828.125000	-148.702530
19875.000000	-152.412460
19921.875000	-143.948929
19968.750000	-139.760651
20015.625000	-141.376877
20062.500000	-148.529572
20109.375000	-140.551758
20156.250000	-141.548187
20203.125000	-149.724442
20250.000000	-152.501038
20296.875000	-144.625137
20343.750000	-140.649857
20390.625000	-142.248856
20437.500000	-149.463913
20484.375000	-141.374146
20531.250000	-142.582275
